MSU	Symbol	Keyword
LOC_Os01g45570	OsHOX3|SGD2	 ABA ;  ga ; ABA; GA; GA biosynthesis; ga; leaf; map-based cloning; nucleus; sheath; transcription factor
LOC_Os01g45750	Ossbf1	growth; transporter
LOC_Os01g45760	OsYUC1|OsYUCCA1	auxin; height; iaa; root
LOC_Os01g45830	OsMOT1;2	grain; grain filling; growth; leaf; molybdenum remobilization; reproductive; reproductive growth; seedling; transporter
LOC_Os01g45914	OsIMA1	Fe; Ubiquitin; iron; tolerance; transcription factor
LOC_Os01g45990	OsAKT1	development; drought; drought stress; growth; homeostasis; iron; leaf; plant growth; potassium; potassium uptake; reactive oxygen species; root; salt; salt stress; seedling; shoot; stress; stress tolerance; tolerance
LOC_Os01g46700	SDG705	GA; GA biosynthesis; branching; development; ga; panicle; plant development
LOC_Os01g46760	OsPP2C08	phosphatase
LOC_Os01g46860	OsPT11|OsPht1;11	phosphate; root; transporter
LOC_Os01g46926	OsUBC5a	defence; defence response; development; vesicular; vesicular trafficking
LOC_Os01g46940	DSH5	dwarf; growth; leaf; vascular bundle
LOC_Os01g46970	OSBZ8|OsbZIP05	ABA; lamina; root; salinity; salinity stress; salt; salt stress; salt tolerance; seedling; stress; transcription factor; vegetative
LOC_Os01g46984	Osa-MIR319a|osa-miR319a	leaf
LOC_Os01g47050	OsFBK1	anther; architecture; auxin; cell wall; crown; crown root; development; drought; drought tolerance; floral; floral organ; floral organ number; flower; flower development; grain; grain size; lignin; organ size; plant architecture; pollen; root; tolerance
LOC_Os01g47330	PRPL12	chloroplast
LOC_Os01g47340	OsIsu1	iron; mitochondria; root
LOC_Os01g47690	OsETHE1|OsGLYII1	calcium; root; stress; stress response
LOC_Os01g47710	DWT1	GA; growth; panicle; tiller; transcription factor
LOC_Os01g47730	OsRab11C1	abscisic acid; cold; cold tolerance; seedling; tolerance
LOC_Os01g47740	UCIP2	resistance
LOC_Os01g47760	OsGRX6	nitrate; nitrogen; senescence
LOC_Os01g47900	OsLSK1	Kinase; abiotic stress; biotic stress; grain; grain yield; growth; height; panicle; plant height; plasma membrane; yield
LOC_Os01g48060	OsETT2|OsETTIN2	awn; leaf; meristem; transcription factor; vascular bundle
LOC_Os01g48280	OsUBC13	broad-spectrum disease resistance; disease; disease resistance; immunity; protein kinase; resistance
LOC_Os01g48290	OsDof4	transcription factor
LOC_Os01g48380	ALS3	chloroplast; development; seedling
LOC_Os01g48410	OsRopGEF6	pollen
LOC_Os01g48440	OsIRX9L	cell wall
LOC_Os01g48446	OsNAC14	defense; defense response; drought; drought tolerance; tolerance
LOC_Os01g48680	OsTPC1	cell death; growth; root; seedling; shoot
LOC_Os01g48690	ASL1	chloroplast; photosynthesis; seedling
LOC_Os01g48800	BG3|OsPUP4	cytokinin transport; grain size
LOC_Os01g48960	OsGOGAT1|OsNADH-GOGAT1	breeding; grain; grain filling; grain yield; nitrogen; plant growth; yield
LOC_Os01g49000	DGL1|OsKTN60	BR; cell elongation; dwarf; ga; gibberellin; growth; leaf; root
LOC_Os01g49024|LOC_Os01g49020	SUI3	PSS domain; internode development; panicle
LOC_Os01g49160	RGN1	architecture; breeding; grain; grain number; panicle; panicle architecture; yield
LOC_Os01g49290	OsRACK1A	floral; phosphate; reactive oxygen species; resistance; salt; salt stress; stress; stress response; tolerance
LOC_Os01g49529	WAK10	cell expansion; cell wall; domestication; height; stem
LOC_Os01g49580	RGN1a	breeding; grain; grain number; panicle
LOC_Os01g49680	OsXPB2	ABA; abiotic stress; biotic stress; stress
LOC_Os01g49830	OsRAV11	floral; seed; seed size
LOC_Os01g50370	OsMAPKKK63	Kinase; abiotic stress; biotic stress; chilling; dormancy; drought; salinity; salt; salt stress; seed; stress; stress response
LOC_Os01g50410	OsMKKK70	 ga ; GA; Kinase; Pollen Fertility; cold; cold stress; cold tolerance; erect; ga; grain; grain shape; grain size; kinase; leaf; leaf angle; pollen; protein kinase; seed; seed set; stress; tolerance
LOC_Os01g50420	OsMAPKKK62|OsMKKK62|OsNPK1-PK	Pollen Fertility; pollen; seed; seed set
LOC_Os01g50520	OsMAX1|SLB1	strigolactone biosynthesis; tiller number
LOC_Os01g50680	SLP1	awn
LOC_Os01g50760	FPPS|FPPS1|OsFPPS1	chloroplast
LOC_Os01g50770	SPL28	bacterial blight; blast; blight; cell death; defense; defense response; flower; leaf; senescence
